,district_id,region,no. of municipalities with inhabitants < 499 ,no. of municipalities with inhabitants 500-1999,no. of municipalities with inhabitants 2000-9999 ,no. of municipalities with inhabitants >10000 ,no. of cities ,ratio of urban inhabitants ,average salary ,criminal growth,unemploymant growth,enterpreuners ratio
0,1,Prague,0,0,0,1,1,1.0,12541,0.01114566294286997,0.14,0.167
1,2,central Bohemia,80,26,6,2,5,0.467,8507,0.005794068673777058,0.18000000000000016,0.132
2,3,central Bohemia,55,26,4,1,5,0.41700000000000004,8980,-0.00014621437686091024,0.26,0.111
3,4,central Bohemia,63,29,6,2,6,0.674,9753,0.004323083799777174,0.41000000000000014,0.109
4,5,central Bohemia,65,30,4,1,6,0.514,9307,0.004434404283801874,0.5799999999999996,0.118
5,6,central Bohemia,60,23,4,2,4,0.515,8546,0.0061567666713697525,1.0699999999999994,0.126
6,7,central Bohemia,38,28,1,3,6,0.634,9920,0.005880179466877804,0.6100000000000003,0.13
7,8,central Bohemia,95,19,7,1,8,0.6940000000000001,11277,-0.001713291393387766,0.18999999999999995,0.127
8,9,central Bohemia,61,23,4,2,6,0.5529999999999999,8899,-0.006146734854445318,0.5800000000000001,0.149
9,10,central Bohemia,55,29,4,3,5,0.467,10124,0.005494982841753182,-0.020000000000000018,0.141
10,11,central Bohemia,35,36,9,0,7,0.365,9622,0.0007139363010166982,0.13999999999999996,0.154
11,12,central Bohemia,84,29,6,1,6,0.58,8754,0.0005933067581347919,0.47999999999999954,0.137
12,13,central Bohemia,61,22,1,1,2,0.413,8598,0.005155690732738636,0.48999999999999977,0.123
13,14,south Bohemia,69,27,10,1,9,0.748,10045,-0.0017390227705052733,0.29000000000000004,0.135
14,15,south Bohemia,22,16,7,1,5,0.519,9045,0.0005782706306551466,0.4700000000000002,0.124
15,16,south Bohemia,74,21,10,1,8,0.569,8427,0.00041519839030777913,0.41999999999999993,0.107
16,17,south Bohemia,99,15,4,2,7,0.614,8114,0.0024033917528557157,0.2400000000000002,0.119
17,18,south Bohemia,60,13,2,1,4,0.653,8968,0.002404560177654564,0.52,0.131
18,19,south Bohemia,50,11,3,1,4,0.527,8402,0.0019444660496227735,0.8500000000000001,0.12
19,20,south Bohemia,94,14,3,1,4,0.584,8547,-0.00029725674489709255,0.9900000000000002,0.12
20,21,south Bohemia,87,16,7,1,7,0.67,9104,0.000532187678403824,0.5599999999999998,0.123
21,22,west Bohemia,65,16,4,1,6,0.524,8620,0.00047945205479452054,0.1499999999999999,0.1
22,23,west Bohemia,21,11,4,3,9,0.855,8624,0.003649092302588682,0.8700000000000001,0.102
23,24,west Bohemia,25,21,6,2,8,0.8,8991,0.0006117305449295695,0.6199999999999999,0.128
24,25,west Bohemia,60,33,3,2,10,0.617,8554,0.004461619928569014,0.20999999999999996,0.113
25,26,west Bohemia,0,0,0,1,1,1.0,10787,0.0012907086577216645,0.44999999999999973,0.131
26,27,west Bohemia,71,19,10,0,7,0.43799999999999994,8561,0.0014562096941959641,0.64,0.11
27,28,west Bohemia,66,26,10,0,8,0.369,8594,-0.0007581919190526737,0.3899999999999997,0.112
28,29,west Bohemia,52,10,5,1,6,0.556,8843,0.0015312595703723148,0.7800000000000002,0.113
29,30,west Bohemia,15,13,8,2,10,0.818,9650,-0.0019090410496561618,0.29000000000000004,0.1
30,31,west Bohemia,34,12,3,1,4,0.5920000000000001,8930,0.0024165416171340595,0.6800000000000002,0.108
31,32,north Bohemia,32,19,7,2,10,0.81,9272,0.0015705610234346742,0.4200000000000004,0.118
32,33,north Bohemia,24,17,7,3,11,0.847,8705,0.001562301441951905,1.8600000000000003,0.116
33,34,north Bohemia,28,11,1,4,5,0.877,9675,-0.0010619949535277395,1.25,0.1
34,35,north Bohemia,10,18,5,1,7,0.805,8867,0.0026586157173756307,0.18999999999999995,0.13
35,36,north Bohemia,29,19,8,1,9,0.852,9198,0.0021050389369553367,0.9500000000000002,0.131
36,37,north Bohemia,71,26,6,2,9,0.623,9065,0.00016665789519849832,0.9299999999999997,0.123
37,38,north Bohemia,41,23,4,2,4,0.598,8965,0.001968503937007874,1.1500000000000004,0.104
38,39,north Bohemia,17,4,3,2,4,0.899,10446,-0.0017014888027023646,2.0600000000000005,0.09
39,40,north Bohemia,9,16,6,3,8,0.853,9317,-0.0006010084453394527,0.5800000000000001,0.097
40,41,north Bohemia,8,8,5,1,3,0.856,9832,-0.008209018120522545,1.1600000000000006,0.114
41,42,east Bohemia,87,25,5,2,7,0.591,8388,0.00010426767597777013,0.5299999999999998,0.087
42,43,east Bohemia,73,21,6,1,6,0.763,9425,-0.0011986110939488676,0.78,0.125
43,44,east Bohemia,77,26,7,2,7,0.53,8254,0.0015055962729390376,0.9699999999999998,0.097
44,45,east Bohemia,85,19,6,1,5,0.535,8390,0.0005390351271224508,0.6100000000000003,0.132
45,46,east Bohemia,48,20,7,3,10,0.735,8369,-0.0020938877995546053,0.52,0.117
46,47,east Bohemia,83,26,5,1,6,0.728,9538,-0.004114897281338418,0.30000000000000004,0.111
47,48,east Bohemia,50,24,8,1,9,0.59,9060,0.0007852574251155721,0.6599999999999999,0.124
48,49,east Bohemia,31,28,5,1,9,0.608,8208,0.006117460527185043,0.3699999999999999,0.155
49,50,east Bohemia,75,33,2,3,6,0.52,8187,0.00010720307185529534,0.6200000000000001,0.094
50,51,east Bohemia,37,28,7,3,11,0.705,8541,0.0028126973193272485,0.4600000000000004,0.131
51,52,east Bohemia,59,41,8,3,10,0.619,8363,0.0016905015394354445,0.9700000000000002,0.108
52,53,south Moravia,88,33,6,2,7,0.509,8240,0.00049114548099823,1.0300000000000002,0.099
53,54,south Moravia,0,0,0,1,1,1.0,9897,-6.450447661067678e-05,0.3599999999999999,0.14
54,55,south Moravia,49,70,18,0,9,0.33899999999999997,8743,0.001496414971790986,0.5500000000000003,0.111
55,56,south Moravia,11,42,14,1,8,0.46,8772,0.002439709481963003,0.29000000000000004,0.126
56,57,south Moravia,21,37,20,3,8,0.48,8720,-0.00048161823727725157,0.77,0.116
57,58,south Moravia,98,16,6,1,4,0.636,8757,0.002372577040049833,0.5700000000000003,0.096
58,59,south Moravia,41,29,7,2,6,0.621,8444,-0.0026637029144583957,0.22999999999999998,0.106
59,60,south Moravia,49,41,4,1,4,0.519,8441,0.0033712028777238504,1.0300000000000002,0.115
60,61,south Moravia,139,28,5,1,6,0.5379999999999999,8814,-0.00044954494177120704,0.9800000000000004,0.107
61,62,south Moravia,22,41,13,2,5,0.40700000000000003,8544,0.0012835648783702158,0.5700000000000001,0.109
62,63,south Moravia,38,36,5,1,5,0.505,8288,-0.0011790135586559245,0.7299999999999995,0.11
63,64,south Moravia,29,41,10,2,10,0.747,9624,-0.0011111167484360652,0.71,0.145
64,65,south Moravia,101,41,4,1,4,0.43700000000000006,8403,0.0049124343257443085,-0.020000000000000462,0.105
65,66,south Moravia,151,41,2,3,5,0.483,8512,-0.0011443829868395957,0.6100000000000003,0.102
66,67,north Moravia,38,25,6,2,6,0.631,8110,-0.0015558111905255812,0.7800000000000002,0.109
67,68,north Moravia,15,40,18,2,6,0.5720000000000001,9893,0.00115360413899182,0.6299999999999999,0.096
68,69,north Moravia,4,13,5,1,3,0.484,8173,-0.08155614743872595,3.890657894736842,0.124
69,70,north Moravia,0,2,8,5,7,0.899,10177,0.0008059231850084271,1.12,0.081
70,71,north Moravia,5,35,11,4,10,0.6970000000000001,8678,-0.002387937504264174,-0.35999999999999943,0.102
71,72,north Moravia,32,50,7,4,4,0.626,8994,-0.0020519896339144354,0.9900000000000002,0.11
72,73,north Moravia,17,49,12,2,7,0.564,8746,0.0004285078587242552,0.41000000000000014,0.09
73,74,north Moravia,0,0,0,1,1,1.0,10673,-0.0013431315033809862,0.6900000000000004,0.1
74,75,north Moravia,67,30,4,2,5,0.6459999999999999,8819,0.003202156021792048,0.28000000000000025,0.099
75,76,north Moravia,31,32,13,2,7,0.512,8369,-0.007293768499399383,1.1499999999999995,0.107
76,77,north Moravia,8,35,12,3,4,0.535,8909,0.0008751556767309569,1.5499999999999998,0.113
