,loan_id,account_id,loan_date,loan_amount,loan_duration,loan_payments,loan_status
0,5895,4473,1997-01-03,93960,60,1566,
1,7122,10365,1997-01-04,260640,36,7240,
2,6173,5724,1997-01-08,232560,48,4845,
3,6142,5591,1997-01-21,221880,60,3698,
4,5358,2018,1997-01-21,38520,12,3210,
5,6095,5358,1997-01-24,68340,60,1139,
6,6878,9242,1997-01-24,23184,12,1932,
7,6554,7637,1997-01-29,390096,48,8127,
8,6793,8931,1997-01-30,186300,60,3105,
9,7286,11271,1997-01-31,67320,36,1870,
10,6076,5269,1997-02-02,117420,60,1957,
11,5134,825,1997-02-02,53076,12,4423,
12,5419,2246,1997-02-05,415800,60,6930,
13,6255,6158,1997-02-08,247920,48,5165,
14,5656,3353,1997-02-09,146064,24,6086,
15,6934,9494,1997-02-09,116832,12,9736,
16,6028,5072,1997-02-09,317520,60,5292,
17,6490,7262,1997-02-10,73260,60,1221,
18,6415,6950,1997-02-12,475680,48,9910,
19,7087,10215,1997-02-20,44304,24,1846,
20,5420,2247,1997-02-24,72504,24,3021,
21,5977,4803,1997-02-25,59136,48,1232,
22,6824,9052,1997-02-26,71976,24,2999,
23,5207,1244,1997-02-28,35904,48,748,
24,7115,10351,1997-03-04,88704,48,1848,
25,7250,11069,1997-03-04,119136,48,2482,
26,6010,4969,1997-03-06,150180,60,2503,
27,6088,5317,1997-03-07,90180,36,2505,
28,5682,3455,1997-03-07,67464,12,5622,
29,7201,10807,1997-03-07,67464,12,5622,
30,6938,9504,1997-03-10,341280,60,5688,
31,6875,9235,1997-03-13,83280,48,1735,
32,5953,4715,1997-03-14,97176,24,4049,
33,5942,4681,1997-03-15,162624,48,3388,
34,5382,2134,1997-03-17,22932,36,637,
35,6377,6792,1997-03-17,17184,12,1432,
36,5931,4618,1997-03-17,66696,24,2779,
37,5992,4863,1997-03-18,76080,12,6340,
38,5790,4033,1997-03-20,84288,48,1756,
39,6753,8688,1997-03-20,67980,12,5665,
40,6562,7674,1997-03-21,94488,24,3937,
41,7046,10049,1997-03-28,91632,12,7636,
42,5868,4361,1997-03-29,90156,12,7513,
43,5784,3967,1997-03-29,84600,36,2350,
44,5878,4415,1997-04-01,74040,12,6170,
45,5110,675,1997-04-01,102240,60,1704,
46,5210,1252,1997-04-01,148140,36,4115,
47,7230,10954,1997-04-02,18720,60,312,
48,5005,176,1997-04-10,27456,12,2288,
49,6871,9225,1997-04-13,164256,48,3422,
50,5363,2051,1997-04-22,293880,60,4898,
51,7253,11079,1997-04-26,98304,12,8192,
52,6055,5181,1997-04-28,399120,60,6652,
53,5072,472,1997-04-28,196800,24,8200,
54,6913,9377,1997-04-29,99936,24,4164,
55,6386,6856,1997-04-30,124344,36,3454,
56,5634,3229,1997-05-01,39024,12,3252,
57,5758,3859,1997-05-02,307200,60,5120,
58,6819,9031,1997-05-03,50112,24,2088,
59,7088,10233,1997-05-03,239160,60,3986,
60,5039,314,1997-05-03,66840,24,2785,
61,5532,2754,1997-05-04,335280,48,6985,
62,6037,5118,1997-05-04,53232,48,1109,
63,6322,6510,1997-05-06,76992,24,3208,
64,6887,9263,1997-05-08,39576,12,3298,
65,6660,8094,1997-05-09,220428,36,6123,
66,5451,2350,1997-05-11,159744,48,3328,
67,6014,4999,1997-05-18,165168,36,4588,
68,5556,2872,1997-05-19,268320,60,4472,
69,6346,6649,1997-05-22,100260,60,1671,
70,5850,4293,1997-05-22,164196,36,4561,
71,5940,4660,1997-05-28,106944,24,4456,
72,7119,10361,1997-06-02,86880,12,7240,
73,5253,1447,1997-06-03,100080,48,2085,
74,6851,9138,1997-06-03,272220,60,4537,
75,6695,8320,1997-06-04,309660,60,5161,
76,6908,9353,1997-06-08,188616,24,7859,
77,7255,11096,1997-06-09,213300,60,3555,
78,5674,3418,1997-06-10,207264,48,4318,
79,6278,6265,1997-06-10,87360,24,3640,
80,5486,2516,1997-06-13,466608,48,9721,
81,5174,1093,1997-06-13,385104,48,8023,
82,6621,7957,1997-06-14,42900,12,3575,
83,6313,6461,1997-06-15,150912,36,4192,
84,6435,7045,1997-06-16,288720,48,6015,
85,6970,9677,1997-06-17,31620,60,527,
86,6310,6440,1997-06-17,34572,12,2881,
87,5932,4626,1997-06-18,33348,12,2779,
88,6877,9241,1997-06-19,285240,60,4754,
89,6763,8772,1997-06-19,88272,48,1839,
90,7085,10202,1997-06-19,305424,48,6363,
91,7049,10063,1997-06-24,233424,36,6484,
92,6959,9633,1997-06-30,59448,24,2477,
93,5214,1270,1997-07-01,74772,36,2077,
94,6350,6678,1997-07-09,294384,48,6133,
95,5063,442,1997-07-10,357840,48,7455,
96,5041,319,1997-07-11,369000,60,6150,
97,5086,525,1997-07-16,210384,48,4383,
98,6942,9513,1997-07-16,18324,12,1527,
99,5270,1528,1997-07-21,191088,48,3981,
100,6705,8381,1997-07-25,333648,48,6951,
101,7051,10068,1997-07-28,77808,12,6484,
102,6758,8742,1997-07-29,33144,12,2762,
103,6249,6138,1997-07-30,67608,24,2817,
104,5808,4099,1997-07-31,41856,48,872,
105,5377,2116,1997-08-04,92400,12,7700,
106,5446,2334,1997-08-04,48312,24,2013,
107,5856,4320,1997-08-09,51360,12,4280,
108,4986,97,1997-08-10,102876,12,8573,
109,7001,9859,1997-08-10,300600,60,5010,
110,6677,8169,1997-08-12,97980,60,1633,
111,6665,8114,1997-08-15,99300,60,1655,
112,5817,4127,1997-08-15,100800,24,4200,
113,6984,9730,1997-08-15,116040,60,1934,
114,6541,7565,1997-08-17,153504,48,3198,
115,5117,718,1997-08-20,76944,12,6412,
116,6097,5362,1997-08-21,202848,48,4226,
117,5389,2165,1997-08-22,78600,24,3275,
118,7219,10905,1997-08-23,57120,48,1190,
119,6338,6592,1997-08-24,390660,60,6511,
120,6922,9424,1997-08-26,83628,36,2323,
121,5367,2064,1997-08-26,83628,36,2323,
122,5638,3249,1997-08-27,68124,12,5677,
123,5830,4190,1997-08-28,405780,60,6763,
124,5338,1888,1997-08-30,57360,12,4780,
125,6007,4949,1997-08-30,289920,48,6040,
126,6612,7907,1997-08-31,97392,12,8116,
127,5718,3637,1997-09-01,14028,12,1169,
128,6104,5395,1997-09-05,158184,36,4394,
129,5229,1329,1997-09-06,23520,12,1960,
130,6625,7966,1997-09-07,473280,60,7888,
131,5206,1242,1997-09-07,128544,24,5356,
132,5963,4746,1997-09-07,204780,60,3413,
133,4990,110,1997-09-08,162576,36,4516,
134,6641,8026,1997-09-09,128268,36,3563,
135,5369,2080,1997-09-12,214596,36,5961,
136,6196,5837,1997-09-14,177804,36,4939,
137,5236,1374,1997-09-15,389136,48,8107,
138,5719,3664,1997-09-20,271584,48,5658,
139,5643,3273,1997-09-21,94512,12,7876,
140,7050,10065,1997-09-23,311232,48,6484,
141,6355,6699,1997-09-24,127200,48,2650,
142,6688,8268,1997-09-26,8616,24,359,
143,6239,6083,1997-09-28,360864,48,7518,
144,5531,2753,1997-09-30,66432,24,2768,
145,6113,5445,1997-10-01,78696,36,2186,
146,7181,10679,1997-10-02,197808,24,8242,
147,6118,5477,1997-10-04,349392,48,7279,
148,7264,11141,1997-10-07,44940,12,3745,
149,5343,1906,1997-10-08,44952,24,1873,
150,5051,378,1997-10-11,230400,60,3840,
151,5779,3942,1997-10-14,107352,36,2982,
152,6605,7890,1997-10-14,79344,48,1653,
153,6655,8085,1997-10-17,260400,60,4340,
154,6534,7542,1997-10-19,590820,60,9847,
155,5681,3448,1997-10-20,68664,24,2861,
156,6607,7894,1997-10-21,153144,36,4254,
157,6242,6097,1997-10-22,26208,36,728,
158,7242,11027,1997-10-23,48096,24,2004,
159,7277,11231,1997-10-24,89280,12,7440,
160,6675,8158,1997-11-01,238716,36,6631,
161,5398,2187,1997-11-04,53472,12,4456,
162,5956,4725,1997-11-04,168264,36,4674,
163,5731,3711,1997-11-05,460980,60,7683,
164,6956,9631,1997-11-09,59448,24,2477,
165,6437,7052,1997-11-09,63972,36,1777,
166,5447,2335,1997-11-12,541200,60,9020,
167,5973,4784,1997-11-24,219456,48,4572,
168,6075,5267,1997-11-26,129312,24,5388,
169,5281,1580,1997-11-27,194256,24,8094,
170,5103,666,1997-11-28,12540,12,1045,
171,6468,7176,1997-11-30,203940,60,3399,
172,7209,10857,1997-11-30,385560,60,6426,
173,5584,2986,1997-12-06,24792,24,1033,
174,4988,103,1997-12-06,265320,36,7370,
175,6502,7424,1997-12-08,30276,12,2523,
176,5651,3329,1997-12-08,19248,12,1604,
177,4962,25,1997-12-08,30276,12,2523,
178,5862,4342,1997-12-09,100128,24,4172,
179,7199,10789,1997-12-09,45768,12,3814,
180,6727,8505,1997-12-10,42840,12,3570,
181,7279,11244,1997-12-11,155760,24,6490,
182,6544,7594,1997-12-11,130464,48,2718,
183,5933,4631,1997-12-13,87528,24,3647,
184,6574,7745,1997-12-20,77544,36,2154,
185,6399,6902,1997-12-21,49320,36,1370,
186,7187,10711,1997-12-24,24180,60,403,
187,6353,6686,1997-12-25,116496,24,4854,
188,5043,339,1997-12-25,468060,60,7801,
189,5469,2445,1997-12-26,293160,60,4886,
190,5976,4794,1997-12-27,465504,48,9698,
191,6059,5196,1997-12-28,79824,12,6652,
192,5799,4052,1997-12-28,106128,36,2948,
193,6147,5602,1997-12-28,177504,48,3698,
194,6254,6157,1997-12-28,247920,48,5165,
195,7100,10280,1997-12-31,348120,60,5802,
196,7147,10478,1998-01-02,267600,48,5575,
197,5909,4550,1998-01-03,61320,60,1022,
198,7037,10022,1998-01-03,218064,48,4543,
199,5782,3953,1998-01-04,63576,12,5298,
200,6237,6075,1998-01-06,407952,48,8499,
201,6552,7632,1998-01-08,170448,48,3551,
202,7067,10134,1998-01-11,136368,24,5682,
203,5320,1819,1998-01-11,143676,36,3991,
204,5930,4616,1998-01-12,66696,24,2779,
205,6486,7240,1998-01-15,152160,60,2536,
206,5245,1407,1998-01-17,125472,24,5228,
207,6643,8038,1998-01-18,35856,24,1494,
208,5260,1480,1998-01-19,123300,36,3425,
209,5569,2936,1998-01-20,504000,60,8400,
210,7110,10345,1998-01-21,31260,12,2605,
211,7139,10445,1998-01-22,23412,12,1951,
212,6791,8926,1998-01-23,566640,60,9444,
213,5360,2035,1998-01-25,176328,36,4898,
214,5287,1638,1998-01-26,64224,24,2676,
215,6553,7636,1998-01-26,42384,12,3532,
216,7072,10148,1998-01-27,22104,12,1842,
217,6044,5133,1998-01-27,57060,12,4755,
218,5332,1869,1998-01-29,37944,36,1054,
219,6866,9201,1998-02-05,122472,24,5103,
220,6633,7997,1998-02-05,160656,24,6694,
221,6926,9455,1998-02-07,374760,60,6246,
222,6442,7082,1998-02-08,194160,48,4045,
223,5889,4456,1998-02-09,321240,60,5354,
224,5765,3875,1998-02-10,153936,24,6414,
225,5124,785,1998-02-12,156096,36,4336,
226,5491,2545,1998-02-13,428784,48,8933,
227,6730,8523,1998-02-15,93036,12,7753,
228,7151,10493,1998-02-18,133800,24,5575,
229,5140,873,1998-02-24,178500,60,2975,
230,7171,10650,1998-02-24,196224,48,4088,
231,6568,7713,1998-02-25,220440,60,3674,
232,6861,9179,1998-02-28,215040,60,3584,
233,6855,9153,1998-03-01,52236,36,1451,
234,7129,10404,1998-03-01,194280,60,3238,
235,5384,2142,1998-03-07,23328,12,1944,
236,6859,9167,1998-03-07,272220,60,4537,
237,5772,3906,1998-03-08,334620,60,5577,
238,5665,3390,1998-03-11,40632,12,3386,
239,6495,7274,1998-03-12,49044,12,4087,
240,5061,440,1998-03-13,84288,48,1756,
241,6948,9560,1998-03-15,157068,36,4363,
242,5773,3907,1998-03-16,133848,24,5577,
243,6052,5164,1998-03-23,22356,36,621,
244,6682,8225,1998-03-30,36204,12,3017,
245,6083,5305,1998-03-31,240528,48,5011,
246,6962,9646,1998-04-02,279072,48,5814,
247,5158,1004,1998-04-11,188532,36,5237,
248,6464,7156,1998-04-16,49488,24,2062,
249,5172,1083,1998-04-16,50976,36,1416,
250,5582,2982,1998-04-17,41256,12,3438,
251,6136,5572,1998-04-19,140880,60,2348,
252,6235,6062,1998-04-19,321360,60,5356,
253,6508,7437,1998-04-19,110736,48,2307,
254,4968,38,1998-04-19,110736,48,2307,
255,6632,7990,1998-04-23,144960,48,3020,
256,7195,10774,1998-04-23,339168,48,7066,
257,5525,2720,1998-04-27,93888,36,2608,
258,6320,6495,1998-04-28,104964,12,8747,
259,6766,8784,1998-04-28,74352,24,3098,
260,6872,9227,1998-04-29,191580,60,3193,
261,5906,4533,1998-05-05,81144,36,2254,
262,7172,10652,1998-05-07,45720,12,3810,
263,6571,7733,1998-05-12,140064,24,5836,
264,5616,3143,1998-05-15,130896,24,5454,
265,6312,6453,1998-05-17,10944,36,304,
266,6470,7181,1998-05-17,49872,12,4156,
267,5147,938,1998-05-21,22260,60,371,
268,5501,2622,1998-05-21,136344,24,5681,
269,6436,7049,1998-05-22,495180,60,8253,
270,5699,3562,1998-05-24,174960,24,7290,
271,5313,1776,1998-05-27,43200,24,1800,
272,6234,6061,1998-05-28,5148,12,429,
273,6569,7721,1998-05-28,45456,12,3788,
274,7202,10812,1998-05-29,140688,48,2931,
275,5683,3460,1998-05-29,140688,48,2931,
276,5034,303,1998-05-30,112752,36,3132,
277,5435,2279,1998-06-01,314688,48,6556,
278,5815,4116,1998-06-03,151200,36,4200,
279,5589,3005,1998-06-05,390000,48,8125,
280,6746,8639,1998-06-06,185640,60,3094,
281,6790,8919,1998-06-08,76104,24,3171,
282,6857,9159,1998-06-08,69600,48,1450,
283,6450,7099,1998-06-10,234336,48,4882,
284,7221,10915,1998-06-11,152460,60,2541,
285,5527,2728,1998-06-15,156420,60,2607,
286,5620,3161,1998-06-16,30012,12,2501,
287,6215,5944,1998-06-18,78720,48,1640,
288,7167,10644,1998-06-18,269964,36,7499,
289,5823,4144,1998-06-21,212976,36,5916,
290,6207,5912,1998-06-23,184620,60,3077,
291,6932,9491,1998-06-25,225504,48,4698,
292,5669,3403,1998-06-27,71820,36,1995,
293,5154,993,1998-07-01,108720,60,1812,
294,7168,10645,1998-07-05,208332,36,5787,
295,5585,2988,1998-07-08,88608,12,7384,
296,7200,10799,1998-07-11,31140,60,519,
297,6539,7559,1998-07-11,12792,12,1066,
298,5774,3916,1998-07-12,96984,36,2694,
299,6357,6706,1998-07-12,64860,60,1081,
300,5042,330,1998-07-12,331584,48,6908,
301,5015,226,1998-07-12,109344,12,9112,
302,5354,2000,1998-07-14,290820,60,4847,
303,6054,5180,1998-07-16,58764,12,4897,
304,7295,11328,1998-07-18,280440,60,4674,
305,5365,2055,1998-07-19,271260,60,4521,
306,6755,8713,1998-07-24,170700,60,2845,
307,5991,4858,1998-07-27,335184,48,6983,
308,7035,10005,1998-07-29,210744,36,5854,
309,5893,4467,1998-08-03,86184,36,2394,
310,7164,10613,1998-08-15,249792,48,5204,
311,5304,1718,1998-08-20,172272,24,7178,
312,5561,2910,1998-08-29,437460,60,7291,
313,5520,2699,1998-08-30,231168,48,4816,
314,5241,1389,1998-09-02,125472,24,5228,
315,7096,10257,1998-09-02,37812,12,3151,
316,6078,5283,1998-09-09,170832,48,3559,
317,5046,349,1998-09-09,42816,12,3568,
318,5334,1876,1998-09-10,209040,24,8710,
319,6969,9673,1998-09-12,88200,36,2450,
320,6821,9037,1998-09-15,321936,48,6707,
321,5760,3862,1998-09-18,74916,36,2081,
322,5614,3137,1998-09-21,253560,60,4226,
323,7091,10243,1998-09-22,113436,36,3151,
324,5698,3556,1998-09-22,174840,60,2914,
325,5169,1068,1998-09-24,253200,60,4220,
326,7294,11327,1998-09-27,39168,24,1632,
327,5318,1808,1998-09-30,385584,48,8033,
328,5368,2073,1998-10-05,44640,24,1860,
329,6923,9433,1998-10-05,44640,24,1860,
330,5463,2413,1998-10-06,17952,12,1496,
331,5265,1498,1998-10-07,165780,60,2763,
332,6321,6505,1998-10-08,38496,12,3208,
333,5226,1318,1998-10-11,185544,36,5154,
334,6868,9208,1998-10-12,82128,24,3422,
335,4967,37,1998-10-14,318480,60,5308,
336,5293,1656,1998-10-29,189792,48,3954,
337,5865,4354,1998-10-30,327660,60,5461,
338,5841,4268,1998-11-04,41988,12,3499,
339,5526,2725,1998-11-08,69624,36,1934,
340,6852,9140,1998-11-10,16032,48,334,
341,6469,7180,1998-11-17,99744,24,4156,
342,6168,5698,1998-11-21,99216,36,2756,
343,7292,11317,1998-11-22,317460,60,5291,
344,5036,309,1998-11-25,91248,48,1901,
345,5644,3293,1998-11-27,276084,36,7669,
346,6856,9156,1998-12-01,163332,36,4537,
347,5428,2262,1998-12-02,230220,36,6395,
348,5027,276,1998-12-02,160920,36,4470,
349,4989,105,1998-12-05,352704,48,7348,
350,5221,1284,1998-12-05,52512,12,4376,
351,6402,6922,1998-12-06,139488,24,5812,
352,5346,1928,1998-12-06,55632,24,2318,
353,6748,8645,1998-12-08,240900,60,4015,
